# 菏泽城市道路连接数据（基于高德地图真实坐标计算）
# 格式: 起点ID|终点ID|距离(米)|预计时间(分钟)
# 节点类型: 1-110=景点, 101-388=美食
# 距离使用Haversine公式计算，跨区道路×1.3系数
# 更新日期: 2026-07-13
#

# ========== 牡丹区景点间连接 ==========
164|176|1998|3
164|179|3059|5
165|166|1922|3
165|167|2578|4
165|170|3135|5
165|171|3093|5
165|175|1466|2
165|176|2306|3
165|179|2510|4
166|167|696|1
166|169|4950|7
166|170|3889|6
166|171|2393|4
166|175|1827|3
166|176|1543|2
166|179|3058|5
167|170|4506|7
167|171|2733|4
167|175|2176|3
167|176|1511|2
167|179|3668|6
169|170|2475|4
169|171|2605|4
169|179|2649|4
170|171|2481|4
170|175|4547|7
170|179|839|1
171|175|3930|6
171|176|3931|6
171|179|1796|3
175|176|1095|2
175|179|3848|6
176|179|4325|6

# ========== 各县内部连接 ==========
189|190|2524|4
189|194|709|1
189|195|2742|4
189|196|909|1
189|203|2665|4
189|209|2097|3
189|212|2179|3
190|194|2407|4
190|195|1096|2
190|196|3130|5
190|203|532|1
190|209|4440|7
190|212|363|1
191|192|546|1
191|193|624|1
191|206|2589|4
192|193|556|1
192|206|2152|3
193|206|2029|3
194|195|2903|4
194|196|731|1
194|203|2683|4
194|209|2035|3
194|212|2043|3
195|196|3546|5
195|203|580|1
195|209|4826|7
195|212|1248|2
196|203|3377|5
196|209|1311|2
196|212|2766|4
203|209|4684|7
203|212|767|1
209|212|4077|6
222|228|2036|3
222|230|2023|3
222|231|232|1
222|233|2382|4
222|234|1877|3
222|236|2503|4
228|230|1870|3
228|231|1879|3
228|233|1779|3
228|234|573|1
228|236|1787|3
229|238|3951|6
230|231|2075|3
230|233|476|1
230|234|1298|2
230|236|618|1
231|233|2400|4
231|234|1776|3
231|236|2513|4
233|234|1221|2
233|236|142|1
234|236|1244|2
239|241|2492|4
239|243|1750|3
239|245|2352|4
239|247|2469|4
239|249|1375|2
239|251|1349|2
239|257|1427|2
239|263|1480|2
241|243|1689|3
241|245|147|1
241|247|213|1
241|249|1121|2
241|251|1228|2
241|257|1065|2
241|263|1027|2
243|245|1625|2
243|247|1823|3
243|249|1118|2
243|251|857|1
243|257|1215|2
243|263|1332|2
245|247|199|1
245|249|984|1
245|251|1107|2
245|257|924|1
245|263|882|1
247|249|1122|2
247|251|1271|2
247|257|1050|2
247|263|989|1
249|251|265|1
249|257|106|1
249|263|226|1
251|257|369|1
251|263|490|1
257|263|121|1
264|265|143|1
264|266|2018|3
264|276|865|1
264|277|906|1
265|266|2137|3
265|276|1009|2
265|277|926|1
266|276|1399|2
266|277|1615|2
268|269|4550|7
268|271|4514|7
268|273|4093|6
269|271|36|1
269|273|3899|6
271|273|3887|6
276|277|1211|2
289|290|911|1
289|291|1879|3
289|292|43|1
289|293|1075|2
289|295|1005|2
289|298|377|1
289|299|2071|3
289|310|994|1
290|291|2718|4
290|292|949|1
290|293|1773|3
290|295|128|1
290|298|1225|2
290|299|2975|4
290|310|114|1
291|292|1855|3
291|293|1025|2
291|295|2775|4
291|298|1511|2
291|299|1274|2
291|310|2767|4
292|293|1070|2
292|295|1045|2
292|298|364|1
292|299|2031|3
292|310|1033|2
293|295|1810|3
293|298|714|1
293|299|1853|3
293|310|1804|3
294|297|2709|4
294|302|2377|4
294|303|1645|2
294|311|1980|3
294|312|3168|5
295|298|1299|2
295|299|3076|5
295|310|14|1
297|302|1653|2
297|303|1070|2
297|311|1030|2
297|312|2160|3
298|299|1847|3
298|310|1289|2
299|310|3064|5
302|303|1367|2
302|311|2052|3
302|312|826|1
303|311|747|1
303|312|2154|3
311|312|2783|4
314|315|1306|2
314|316|639|1
314|319|944|1
314|326|2440|4
315|316|1280|2
315|319|362|1
315|326|3272|5
316|319|982|1
316|326|3069|5
319|326|3003|5
320|331|1486|2
320|337|1430|2
328|330|1561|2
328|333|1552|2
328|336|1066|2
330|333|26|1
330|336|690|1
331|337|1386|2
333|336|697|1
339|342|2526|4
339|344|1129|2
339|348|35|1
342|344|1462|2
